id,name,hidden_layers,activation,optimizer,learning_rate,batch_size,epochs,dropout,batch_norm,l1_lambda,weight_decay,momentum,alpha,architecture,regularization,best_epoch,parameters,training_seconds,val_mse,val_mae,val_rmse,generalization_gap
1,Baseline,"(64, 32)",ReLU,Adam,0.001,64,100,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,99,2689,30.208754700026475,0.286970853805542,0.3660805821418762,0.5356966061172518,0.04092117592873895
2,Arquitectura pequena,"(32,)",ReLU,Adam,0.001,64,100,0.0,False,0.0,0.0,0.0,0.99,32,Ninguna,99,321,22.603371100034565,0.31748905777931213,0.3851860761642456,0.5634616737448184,0.01861729092508191
3,Arquitectura profunda,"(128, 64, 32)",ReLU,Adam,0.001,64,100,0.0,False,0.0,0.0,0.0,0.99,128-64-32,Ninguna,64,11521,36.1083842999069,0.2852756977081299,0.35955092310905457,0.5341120647468375,0.050840528931464596
4,Activacion LeakyReLU,"(64, 32)",LeakyReLU,Adam,0.001,64,100,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,94,2689,30.669207999948412,0.2866295874118805,0.36396509408950806,0.5353779855502844,0.03532970994545903
5,Activacion Tanh,"(64, 32)",Tanh,Adam,0.001,64,100,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,94,2689,46.90059910004493,0.28513941168785095,0.3620114326477051,0.5339844676466263,0.024287401441719814
6,Optimizador SGD,"(64, 32)",ReLU,SGD,0.01,64,100,0.0,False,0.0,0.0,0.9,0.99,64-32,Ninguna,99,2689,29.60623899998609,0.27946239709854126,0.3583531677722931,0.5286420311501359,0.030139617052585194
7,Optimizador RMSprop,"(64, 32)",ReLU,RMSprop,0.001,64,100,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,94,2689,31.180435899994336,0.2852979898452759,0.3605019748210907,0.5341329327473413,0.029968837566946016
8,Learning rate alto,"(64, 32)",ReLU,Adam,0.01,64,100,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,61,2689,30.03230349998921,0.27894583344459534,0.3574635982513428,0.5281532291339279,0.027672398055708702
9,Learning rate bajo,"(64, 32)",ReLU,Adam,0.0001,64,100,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,99,2689,30.96658219990786,0.3385777473449707,0.4000251591205597,0.5818743398234456,0.0288727890415445
10,Batch pequeno,"(64, 32)",ReLU,Adam,0.001,32,100,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,64,2689,38.9974051999161,0.2813669443130493,0.35759103298187256,0.5304403305868147,0.028063659322090206
11,Batch grande,"(64, 32)",ReLU,Adam,0.001,256,100,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,90,2689,15.385107500012964,0.2974627614021301,0.3740471601486206,0.5454014680967866,0.03144971328320295
12,Menos epochs,"(64, 32)",ReLU,Adam,0.001,64,50,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,40,2689,14.688070600037463,0.2998684346675873,0.37286314368247986,0.5476024421672965,0.02864220381971211
13,Mas epochs,"(64, 32)",ReLU,Adam,0.001,64,150,0.0,False,0.0,0.0,0.0,0.99,64-32,Ninguna,109,2689,44.43782530003227,0.2846503257751465,0.3618696331977844,0.533526312167588,0.04089947223069265
14,Regularizacion L1,"(64, 32)",ReLU,Adam,0.001,64,100,0.0,False,1e-05,0.0,0.0,0.99,64-32,L1=1e-05,94,2689,36.66379389993381,0.2858670949935913,0.35999009013175964,0.5346654047098908,0.037532083285871404
15,Regularizacion L2,"(64, 32)",ReLU,Adam,0.001,64,100,0.0,False,0.0,0.0001,0.0,0.99,64-32,L2=0.0001,94,2689,33.34607169998344,0.2855251729488373,0.36201733350753784,0.5343455557491212,0.03265431338502456
16,Dropout,"(64, 32)",ReLU,Adam,0.001,64,100,0.2,False,0.0,0.0,0.0,0.99,64-32,Dropout=0.2,99,2689,33.3963412999874,0.29706043004989624,0.37107032537460327,0.5450325036636772,-0.022231421399354134
17,Batch normalization,"(64, 32)",ReLU,Adam,0.001,64,100,0.0,True,0.0,0.0,0.0,0.99,64-32,BatchNorm,97,2881,38.57352729991544,0.2848869860172272,0.360513836145401,0.5337480548135302,0.001183990030193649
